"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 05월 01일","264.98","263.87","265.10","262.11","74.20M","0.18%"
"2018년 04월 30일","264.51","267.26","267.89","264.43","82.18M","-0.77%"
"2018년 04월 27일","266.56","267.00","267.34","265.50","57.05M","0.09%"
"2018년 04월 26일","266.31","264.79","267.25","264.29","67.73M","1.02%"
"2018년 04월 25일","263.63","262.91","264.13","260.85","103.84M","0.25%"
"2018년 04월 24일","262.98","267.73","267.98","261.28","112.89M","-1.35%"
"2018년 04월 23일","266.57","267.26","267.89","265.35","65.56M","-0.01%"
"2018년 04월 20일","266.61","268.81","269.06","265.61","99.95M","-0.85%"
"2018년 04월 19일","268.89","269.65","269.88","267.72","77.66M","-0.55%"
"2018년 04월 18일","270.39","270.69","271.30","269.87","57.30M","0.07%"
"2018년 04월 17일","270.19","269.33","270.87","268.75","64.68M","1.07%"
"2018년 04월 16일","267.33","267.00","268.20","266.07","63.41M","0.82%"
"2018년 04월 13일","265.15","267.41","267.54","264.01","85.08M","-0.29%"
"2018년 04월 12일","265.93","265.26","267.00","265.06","68.89M","0.82%"
"2018년 04월 11일","263.76","263.47","265.64","263.39","91.14M","-0.52%"
"2018년 04월 10일","265.15","264.27","266.04","262.98","105.57M","1.59%"
"2018년 04월 09일","261.00","261.37","264.84","259.94","105.44M","0.49%"
"2018년 04월 06일","259.72","263.42","265.11","258.00","179.52M","-2.23%"
"2018년 04월 05일","265.64","265.55","266.64","264.32","82.65M","0.79%"
"2018년 04월 04일","263.56","256.75","264.36","256.60","123.72M","1.07%"
"2018년 04월 03일","260.77","258.87","261.31","256.84","119.96M","1.28%"
"2018년 04월 02일","257.47","262.55","263.13","254.67","186.29M","-2.16%"
"2018년 03월 29일","263.15","261.12","265.26","259.84","124.24M","1.28%"
"2018년 03월 28일","259.83","260.75","262.64","258.58","146.45M","-0.30%"
"2018년 03월 27일","260.60","266.17","266.77","258.84","129.94M","-1.70%"
"2018년 03월 26일","265.11","262.13","265.43","259.41","141.96M","2.74%"
"2018년 03월 23일","258.05","264.17","265.02","257.83","183.53M","-2.13%"
"2018년 03월 22일","263.67","267.91","268.87","263.36","148.79M","-2.50%"
"2018년 03월 21일","270.43","270.90","273.27","270.19","78.71M","-0.19%"
"2018년 03월 20일","270.95","270.94","271.67","270.18","59.76M","0.17%"
"2018년 03월 19일","270.49","273.35","274.40","268.62","109.21M","-1.35%"
"2018년 03월 16일","274.20","274.50","275.39","274.14","100.34M","-0.29%"
"2018년 03월 15일","275.00","275.88","276.61","274.43","83.43M","-0.11%"
"2018년 03월 14일","275.30","277.81","278.02","274.67","105.90M","-0.51%"
"2018년 03월 13일","276.72","279.84","280.41","276.03","91.97M","-0.65%"
"2018년 03월 12일","278.52","279.20","279.91","278.08","71.92M","-0.13%"
"2018년 03월 09일","278.87","275.70","278.87","275.34","113.63M","1.74%"
"2018년 03월 08일","274.10","273.55","274.24","272.42","66.90M","0.48%"
"2018년 03월 07일","272.78","270.42","273.18","270.20","87.06M","-0.04%"
"2018년 03월 06일","272.88","273.30","273.39","271.18","79.21M","0.25%"
"2018년 03월 05일","272.19","267.73","272.89","267.61","97.31M","1.16%"
"2018년 03월 02일","269.08","265.80","269.72","264.82","139.08M","0.52%"
"2018년 03월 01일","267.70","271.41","273.17","266.00","176.86M","-1.45%"
"2018년 02월 28일","271.65","275.68","276.19","271.29","121.91M","-1.01%"
"2018년 02월 27일","274.43","278.11","278.92","274.36","99.10M","-1.25%"
"2018년 02월 26일","277.90","275.93","278.01","275.26","86.49M","1.16%"
"2018년 02월 23일","274.71","271.79","274.71","271.25","92.77M","1.59%"
"2018년 02월 22일","270.40","271.10","273.05","269.64","110.51M","0.13%"
"2018년 02월 21일","270.05","271.90","274.72","269.94","98.88M","-0.50%"
"2018년 02월 20일","271.40","272.03","273.67","270.50","86.37M","-0.63%"
"2018년 02월 16일","273.11","272.32","275.32","272.27","160.42M","0.03%"
"2018년 02월 15일","273.03","271.57","273.04","268.77","111.20M","1.28%"
"2018년 02월 14일","269.59","264.31","270.00","264.30","120.74M","1.35%"
"2018년 02월 13일","266.00","263.97","266.62","263.31","81.22M","0.25%"
"2018년 02월 12일","265.34","263.83","267.01","261.66","143.74M","1.47%"
"2018년 02월 09일","261.50","260.80","263.61","252.92","283.57M","1.50%"
"2018년 02월 08일","257.63","268.01","268.17","257.59","246.45M","-3.75%"
"2018년 02월 07일","267.67","268.50","272.36","267.58","167.38M","-0.54%"
"2018년 02월 06일","269.13","259.94","269.70","258.70","355.03M","1.97%"
"2018년 02월 05일","263.93","273.45","275.85","263.31","294.68M","-4.18%"
"2018년 02월 02일","275.45","280.08","280.23","275.41","173.17M","-2.18%"
"2018년 02월 01일","281.58","281.07","283.06","280.68","90.10M","-0.11%"
"2018년 01월 31일","281.90","282.73","283.30","280.68","118.95M","0.05%"
"2018년 01월 30일","281.76","282.60","284.74","281.22","131.80M","-1.03%"
"2018년 01월 29일","284.68","285.93","286.43","284.50","90.12M","-0.66%"
"2018년 01월 26일","286.58","284.25","286.63","283.96","107.74M","1.16%"
