"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2017년 12월 19일","6,963.9","6,991.3","6,995.9","6,951.5","514.90M","-0.44%"
"2017년 12월 18일","6,994.8","6,980.4","7,003.9","6,975.5","539.24M","0.84%"
"2017년 12월 15일","6,936.6","6,871.5","6,945.8","6,871.5","1.42B","1.17%"
"2017년 12월 14일","6,856.5","6,887.4","6,901.1","6,851.6","496.56M","-0.28%"
"2017년 12월 13일","6,875.8","6,880.4","6,897.6","6,871.9","490.98M","0.20%"
"2017년 12월 12일","6,862.3","6,872.7","6,884.8","6,856.3","456.45M","-0.19%"
"2017년 12월 11일","6,875.1","6,847.6","6,879.8","6,844.9","448.36M","0.51%"
"2017년 12월 08일","6,840.1","6,859.9","6,870.5","6,831.6","429.26M","0.40%"
"2017년 12월 07일","6,812.8","6,785.7","6,829.3","6,778.2","475.25M","0.54%"
"2017년 12월 06일","6,776.4","6,742.1","6,787.4","6,734.1","454.87M","0.21%"
"2017년 12월 05일","6,762.2","6,759.1","6,836.5","6,752.3","518.90M","-0.19%"
"2017년 12월 04일","6,775.4","6,897.1","6,899.2","6,770.7","600.98M","-1.05%"
"2017년 12월 01일","6,847.6","6,844.0","6,872.2","6,737.2","547.88M","-0.38%"
"2017년 11월 30일","6,874.0","6,852.8","6,888.6","6,838.5","730.82M","0.73%"
"2017년 11월 29일","6,824.4","6,907.3","6,908.3","6,794.0","586.18M","-1.27%"
"2017년 11월 28일","6,912.4","6,893.7","6,914.2","6,866.2","477.32M","0.49%"
"2017년 11월 27일","6,878.5","6,889.9","6,897.4","6,867.9","444.30M","-0.15%"
"2017년 11월 24일","6,889.2","6,878.1","6,890.0","6,873.7","223.07M","0.32%"
"2017년 11월 22일","6,867.4","6,869.5","6,874.5","6,859.3","386.64M","0.07%"
"2017년 11월 21일","6,862.5","6,820.5","6,862.7","6,820.0","465.90M","1.06%"
"2017년 11월 20일","6,790.7","6,789.3","6,795.8","6,779.5","437.87M","0.12%"
"2017년 11월 17일","6,782.8","6,794.5","6,797.8","6,777.4","493.18M","-0.15%"
"2017년 11월 16일","6,793.3","6,742.3","6,806.7","6,742.3","476.98M","1.30%"
"2017년 11월 15일","6,706.2","6,700.7","6,725.3","6,667.3","457.21M","-0.47%"
"2017년 11월 14일","6,737.9","6,733.9","6,743.6","6,709.3","462.99M","-0.29%"
"2017년 11월 13일","6,757.6","6,727.4","6,766.3","6,723.4","462.89M","0.10%"
"2017년 11월 10일","6,750.9","6,736.4","6,757.4","6,727.4","464.51M","0.01%"
"2017년 11월 09일","6,750.0","6,737.5","6,758.9","6,687.3","517.86M","-0.58%"
"2017년 11월 08일","6,789.1","6,764.9","6,791.6","6,753.3","509.54M","0.32%"
"2017년 11월 07일","6,767.8","6,785.4","6,795.5","6,750.4","531.06M","-0.27%"
"2017년 11월 06일","6,786.4","6,763.3","6,790.7","6,763.2","524.23M","0.33%"
"2017년 11월 03일","6,764.4","6,737.1","6,765.1","6,712.9","521.39M","0.74%"
"2017년 11월 02일","6,714.9","6,709.4","6,720.0","6,677.5","533.72M","-0.02%"
"2017년 11월 01일","6,716.5","6,758.6","6,759.7","6,691.5","491.99M","-0.17%"
"2017년 10월 31일","6,727.7","6,713.7","6,737.8","6,705.8","509.98M","0.43%"
"2017년 10월 30일","6,699.0","6,693.8","6,727.4","6,677.1","477.43M","-0.03%"
"2017년 10월 27일","6,701.3","6,635.0","6,708.1","6,625.8","566.65M","2.20%"
"2017년 10월 26일","6,556.8","6,567.6","6,582.8","6,550.0","496.86M","-0.11%"
"2017년 10월 25일","6,563.9","6,587.2","6,600.6","6,517.9","493.72M","-0.52%"
"2017년 10월 24일","6,598.4","6,598.6","6,611.9","6,582.1","421.46M","0.18%"
"2017년 10월 23일","6,586.8","6,641.6","6,641.6","6,581.1","417.65M","-0.64%"
"2017년 10월 20일","6,629.0","6,633.4","6,640.0","6,622.9","457.36M","0.36%"
"2017년 10월 19일","6,605.1","6,583.7","6,605.3","6,558.5","424.74M","-0.29%"
"2017년 10월 18일","6,624.2","6,634.3","6,635.5","6,613.5","390.34M","0.01%"
"2017년 10월 17일","6,623.7","6,621.4","6,628.6","6,613.2","375.09M","-0.01%"
"2017년 10월 16일","6,624.0","6,622.5","6,632.5","6,607.0","373.94M","0.28%"
"2017년 10월 13일","6,605.8","6,613.2","6,616.6","6,602.2","417.54M","0.22%"
"2017년 10월 12일","6,591.5","6,594.8","6,613.5","6,586.3","476.36M","-0.18%"
"2017년 10월 11일","6,603.5","6,586.7","6,604.2","6,578.0","429.37M","0.25%"
"2017년 10월 10일","6,587.3","6,602.5","6,608.3","6,561.8","401.70M","0.11%"
"2017년 10월 09일","6,579.7","6,597.4","6,599.3","6,572.4","359.14M","-0.16%"
"2017년 10월 06일","6,590.2","6,567.0","6,590.2","6,566.8","410.59M","0.07%"
"2017년 10월 05일","6,585.4","6,552.9","6,587.2","6,547.6","422.21M","0.78%"
"2017년 10월 04일","6,534.6","6,522.0","6,546.5","6,513.1","434.61M","0.04%"
"2017년 10월 03일","6,531.7","6,523.7","6,532.2","6,509.7","438.92M","0.23%"
"2017년 10월 02일","6,516.7","6,506.1","6,527.2","6,484.1","448.11M","0.32%"
"2017년 09월 29일","6,496.0","6,461.3","6,498.0","6,454.9","492.43M","0.66%"
"2017년 09월 28일","6,453.5","6,438.0","6,456.2","6,427.7","428.05M","0.00%"
"2017년 09월 27일","6,453.3","6,414.4","6,472.6","6,405.4","470.98M","1.15%"
"2017년 09월 26일","6,380.2","6,391.9","6,405.0","6,364.6","439.70M","0.15%"
"2017년 09월 25일","6,370.6","6,403.1","6,408.1","6,344.0","486.99M","-0.88%"
"2017년 09월 22일","6,426.9","6,401.4","6,429.5","6,400.8","388.10M","0.07%"
"2017년 09월 21일","6,422.7","6,448.6","6,448.6","6,405.3","400.64M","-0.52%"
"2017년 09월 20일","6,456.0","6,459.7","6,466.0","6,414.2","470.40M","-0.08%"
"2017년 09월 19일","6,461.3","6,465.6","6,467.8","6,446.8","430.73M","0.10%"
"2017년 09월 18일","6,454.6","6,460.1","6,477.8","6,438.4","445.50M","0.10%"
"2017년 09월 15일","6,448.5","6,426.2","6,464.3","6,419.6","1.19B","0.30%"
"2017년 09월 14일","6,429.1","6,439.5","6,455.3","6,424.0","430.37M","-0.48%"
"2017년 09월 13일","6,460.2","6,440.7","6,460.4","6,433.2","447.20M","0.09%"
"2017년 09월 12일","6,454.3","6,448.8","6,455.0","6,429.5","404.69M","0.34%"
"2017년 09월 11일","6,432.3","6,411.2","6,439.1","6,410.7","431.57M","1.13%"
"2017년 09월 08일","6,360.2","6,389.6","6,391.4","6,355.0","408.11M","-0.59%"
"2017년 09월 07일","6,397.9","6,402.9","6,413.1","6,379.8","433.05M","0.07%"
"2017년 09월 06일","6,393.3","6,394.4","6,407.4","6,356.2","419.28M","0.28%"
"2017년 09월 05일","6,375.6","6,414.8","6,426.5","6,334.6","438.96M","-0.93%"
"2017년 09월 01일","6,435.3","6,442.2","6,449.6","6,417.9","347.64M","0.10%"
"2017년 08월 31일","6,428.7","6,385.8","6,435.3","6,383.6","478.19M","0.95%"
"2017년 08월 30일","6,368.3","6,308.7","6,374.5","6,303.6","384.51M","1.05%"
"2017년 08월 29일","6,301.9","6,228.9","6,311.3","6,228.7","379.62M","0.30%"
"2017년 08월 28일","6,283.0","6,286.0","6,292.3","6,267.9","384.99M","0.28%"
"2017년 08월 25일","6,265.6","6,293.8","6,308.7","6,257.1","343.10M","-0.09%"
"2017년 08월 24일","6,271.3","6,294.8","6,302.9","6,244.6","369.11M","-0.11%"
"2017년 08월 23일","6,278.4","6,263.5","6,291.3","6,263.3","349.56M","-0.30%"
"2017년 08월 22일","6,297.5","6,241.2","6,302.8","6,241.2","363.16M","1.36%"
"2017년 08월 21일","6,213.1","6,216.3","6,226.9","6,177.2","375.22M","-0.05%"
"2017년 08월 18일","6,216.5","6,222.5","6,254.2","6,193.4","469.44M","-0.09%"
"2017년 08월 17일","6,221.9","6,322.7","6,334.2","6,221.9","435.27M","-1.94%"
"2017년 08월 16일","6,345.1","6,348.1","6,374.6","6,330.3","396.20M","0.19%"
"2017년 08월 15일","6,333.0","6,350.5","6,350.7","6,324.8","368.07M","-0.11%"
"2017년 08월 14일","6,340.2","6,306.1","6,346.8","6,305.5","410.78M","1.34%"
"2017년 08월 11일","6,256.6","6,222.2","6,266.9","6,216.2","418.07M","0.64%"
"2017년 08월 10일","6,216.9","6,312.6","6,318.3","6,214.4","495.54M","-2.13%"
"2017년 08월 09일","6,352.3","6,322.9","6,355.0","6,309.4","469.74M","-0.28%"
"2017년 08월 08일","6,370.5","6,373.3","6,423.4","6,355.9","445.32M","-0.21%"
"2017년 08월 07일","6,383.8","6,361.1","6,386.0","6,356.2","408.69M","0.51%"
"2017년 08월 04일","6,351.6","6,350.8","6,361.5","6,329.7","443.76M","0.18%"
