44452,3127.86,0.07,732270,0.01
44449,3125.76,0.36,723085,-0.22
44448,3114.7,-1.53,927369,0.08
44447,3162.99,-0.77,859889,0.13
44446,3187.42,-0.5,760160,0.05
44445,3203.33,0.07,726190,0.13
44442,3201.06,0.79,641510,-0.15
44441,3175.85,-0.97,757860,0.01
44440,3207.02,0.24,746705,0.13
44439,3199.27,1.75,661221,0.1
44438,3144.19,0.33,602858,0.16
44435,3133.9,0.17,520669,-0.28
44434,3128.53,-0.58,727719,0.16
44433,3146.81,0.27,624688,0.07
44432,3138.3,1.56,586535,0.03
44431,3090.21,0.97,570980,-0.15
44428,3060.51,-1.2,672088,0.03
44427,3097.83,-1.93,655629,0.05
44426,3158.93,0.5,622792,-0.1
44425,3143.09,-0.89,690842,-0.01
44421,3171.29,-1.16,696468,0.08
44420,3208.38,-0.38,643283,0.04
44419,3220.62,-0.7,618093,-0.15
44418,3243.19,-0.53,730349,0.03
44417,3260.42,-0.3,707654,-0.25
44414,3270.36,-0.18,941361,0.38
44413,3276.13,-0.13,680941,0.08
44412,3280.38,1.34,632242,-0.03
44411,3237.14,0.44,653513,0.16
44410,3223.04,0.65,561003,-0.18
44407,3202.32,-1.24,687861,-0.01
44406,3242.65,0.18,694823,-0.2
44405,3236.86,0.13,868603,-0.12
44404,3232.53,0.24,991939,0.2
44403,3224.95,-0.91,826067,0.03
44400,3254.42,0.13,805048,0.13
44399,3250.21,1.07,712983,-0.28
44398,3215.91,-0.52,990327,0.01
44397,3232.7,-0.35,979670,-0.11
44396,3244.04,-1,1095559,0.03
44393,3276.91,-0.28,1066507,-0.09
44392,3286.22,0.66,1172431,0.29
44391,3264.81,-0.2,908954,-0.21
44390,3271.38,0.77,1150101,0.01
44389,3246.47,0.89,1135043,-0.13
44386,3217.95,-1.07,1308365,-0.14
44385,3252.68,-0.99,1516034,0.32
44384,3285.34,-0.6,1147641,0.11
44383,3305.21,0.36,1029465,0.21
44382,3293.21,0.35,850406,-0.17
44379,3281.78,-0.01,1019998,-0.12
44378,3282.06,-0.44,1159231,-0.28
44377,3296.68,0.3,1610376,0.33
44376,3286.68,-0.46,1213047,-0.15
44375,3301.89,-0.03,1428764,0.19
44372,3302.84,0.51,1198188,-0.08
44371,3286.1,0.3,1301271,0.22
44370,3276.19,0.38,1069175,-0.36
44369,3263.88,0.71,1666697,0.1
44368,3240.79,-0.83,1508634,-0.07
44365,3267.93,0.09,1627658,-0.12
44364,3264.96,-0.42,1848671,-0.21
44363,3278.68,0.62,2345811,0.35
44362,3258.63,0.2,1734497,0.04
44361,3252.13,0.09,1664527,0.01
44358,3249.32,0.77,1645509,-0.13
44357,3224.64,0.26,1896766,-0.03
44356,3216.18,-0.97,1964923,0.01
44355,3247.83,-0.13,1951319,0.13
44354,3252.12,0.37,1733348,0.24
44351,3240.08,-0.23,1392320,-0.12
44350,3247.43,0.72,1584799,0.06
44349,3224.23,0.07,1495671,0.02
44348,3221.87,0.56,1472571,0.31
44347,3203.92,0.48,1123525,0.16
44344,3188.73,0.73,966368,-0.11
44343,3165.51,-0.09,1082006,-0.15
44342,3168.43,-0.09,1269999,1.07
44341,3171.32,0.86,612977,0.04
44340,3144.3,-0.38,587968,-0.26
44337,3156.42,-0.19,797262,0.03
44336,3162.28,-0.34,774252,-0.02
44334,3173.05,1.23,786143,0.02
44333,3134.52,-0.6,771306,-0.08
44330,3153.32,1,836404,-0.24
44329,3122.11,-1.25,1095948,-0.23
44328,3161.66,-1.49,1424059,0.3
44327,3209.43,-1.23,1096718,0.08
44326,3249.3,1.63,1011267,0.02
44323,3197.2,0.58,989680,-0.2
44322,3178.74,1,1239403,-0.03
44320,3147.37,0.64,1283830,0.23
44319,3127.2,-0.66,1041199,-0.23
44316,3147.86,-0.83,1359455,0.11
44315,3174.07,-0.23,1222430,-0.13
44314,3181.47,-1.06,1412621,-0.08
44313,3215.42,-0.07,1534230,0.18
44312,3217.53,0.99,1298330,-0.42
44309,3186.1,0.27,2253793,0.29
44308,3177.52,0.18,1752692,-0.01
44307,3171.66,-1.52,1767091,0.36
44306,3220.7,0.68,1296160,0.22
44305,3198.84,0.01,1060619,0.08
44302,3198.62,0.13,985278,-0.25
44301,3194.33,0.38,1312992,-0.26
44300,3182.38,0.42,1776265,0.02
44299,3169.08,1.07,1741348,0.66
44298,3135.59,0.12,1048783,-0.42
44295,3131.88,-0.36,1823162,0.34
44294,3143.26,0.19,1357293,-0.32
44293,3137.41,0.33,1984774,0.55
44292,3127.08,0.2,1279017,0.18
44291,3120.83,0.26,1084792,0.37
44288,3112.8,0.82,792705,-0.14
44287,3087.4,0.85,922680,-0.2
44286,3061.42,-0.28,1146989,0.12
44285,3070,1.12,1023075,-0.21
44284,3036.04,-0.16,1288846,0.24
44281,3041.01,1.09,1036383,0.1
44280,3008.33,0.4,940354,-0.04
44279,2996.35,-0.28,978431,-0.27
44278,3004.74,-1.01,1331210,0.45
44277,3035.46,-0.13,915739,-0.14
44274,3039.53,-0.86,1068468,-0.13
44273,3066.01,0.61,1232596,0.51
44272,3047.5,-0.64,814991,-0.27
44271,3067.17,0.7,1123922,-0.03
44270,3045.71,-0.28,1161784,-0.3
44267,3054.39,1.35,1669085,0.24
44266,3013.7,1.88,1349204,0.49
44265,2958.12,-0.6,905647,-0.41
44264,2976.12,-0.67,1534218,-0.2
44263,2996.11,-1,1928302,0.62
44260,3026.26,-0.57,1187226,-0.07
44259,3043.49,-1.28,1278952,-0.43
44258,3082.99,1.29,2236688,0.28
44257,3043.87,1.03,1749871,0.29
44253,3012.95,-2.8,1361310,0.06
44252,3099.69,3.5,1280086,-0.18
44251,2994.98,-2.45,1560931,-0.34
44250,3070.09,-0.31,2357759,0.29
44249,3079.75,-0.9,1831956,-0.47
44246,3107.62,0.68,3455505,0.86
44245,3086.66,-1.5,1860567,0.04
44244,3133.73,-0.93,1784127,-0.08
44243,3163.25,0.52,1944396,0.21
44242,3147,1.5,1604653,-0.25
44237,3100.58,0.52,2152917,0
44236,3084.67,-0.21,2145388,0.68
44235,3091.24,-0.94,1277207,0.07
44232,3120.63,1.07,1193487,-0.18
44231,3087.55,-1.35,1460946,0.62
44230,3129.68,1.06,901789,0.02
44229,3096.81,1.32,887314,-0.08
44228,3056.53,2.7,969262,-0.03
44225,2976.21,-3.03,995071,-0.24
44224,3069.05,-1.71,1310455,0.42
44223,3122.56,-0.57,924582,0.06
44222,3140.31,-2.14,873024,-0.2
44221,3208.99,2.18,1093653,-0.02
44218,3140.63,-0.64,1111223,-0.18
44217,3160.84,1.49,1360065,0.14
44216,3114.55,0.71,1192695,-0.12
44215,3092.66,2.61,1353312,-0.08
44214,3013.93,-2.33,1472049,0.11
44211,3085.9,-2.03,1331079,0.08
44210,3149.93,0.05,1233183,-0.22
44209,3148.29,0.71,1578042,0.13
44208,3125.95,-0.71,1390618,-0.19
44207,3148.45,-0.12,1712526,0.32
44204,3152.18,3.97,1297903,-0.15
44203,3031.68,2.14,1524655,-0.15
44202,2968.21,-0.75,1793419,0.18
44201,2990.57,1.57,1519912,0.48
44200,2944.45,2.47,1026510,-0.04
44195,2873.47,1.88,1074033,0.03
44194,2820.51,0.42,1046839,0.04
44193,2808.6,0.06,1006250,-0.02
44189,2806.86,1.7,1030890,-0.08
44188,2759.82,0.96,1121347,-0.11
44187,2733.68,-1.62,1260762,0.11
44186,2778.65,0.23,1139514,0.08
44183,2772.18,0.06,1059144,0.04
44182,2770.43,-0.05,1015484,-0.13
44181,2771.79,0.54,1166638,0.07
44180,2756.82,-0.19,1093523,-0.02
44179,2762.2,-0.28,1113631,-0.08
44176,2770.06,0.86,1215239,-0.01
44175,2746.46,-0.33,1227651,-0.02
44174,2755.47,2.02,1252305,-0.12
44173,2700.93,-1.62,1415240,-0.06
44172,2745.44,0.51,1499265,-0.16
44169,2731.45,1.31,1778897,1.18
44168,2696.22,0.76,817066,-0.24
44167,2675.9,1.58,1076204,-0.07
44166,2634.25,1.66,1151129,-0.12
44165,2591.34,-1.6,1311831,0.1
44162,2633.45,0.29,1196042,-0.14
44161,2625.91,0.94,1387435,-0.02
44160,2601.54,-0.62,1410105,0.03
44159,2617.76,0.58,1364506,-0.17
44158,2602.59,1.92,1649443,0.46
44155,2553.5,0.24,1129501,0.16
44154,2547.42,0.07,976483,0.06
44153,2545.64,0.26,923504,-0.27
44152,2539.15,-0.15,1267495,0.02
44151,2543.03,1.97,1239135,0.16
44148,2493.87,0.74,1072383,-0.16
44147,2475.62,-0.41,1278692,0.01
44146,2485.87,1.35,1272039,-0.13
44145,2452.83,0.23,1464168,0.08
44144,2447.2,1.27,1354863,0.64
44141,2416.5,0.11,825569,0.18
44140,2413.79,2.4,702037,-0.29
44139,2357.32,0.6,986786,0.11
44138,2343.31,1.88,887445,0.31
44137,2300.16,1.46,678501,-0.15
